date,weather,temperature_high,temperature_low
2018年12月16日,晴/晴,4℃,-14℃
2018年12月17日,晴/阴,6℃,-11℃
2018年12月18日,小雨/雨夹雪,8℃,-8℃
2018年12月19日,小雪/晴,2℃,-13℃
2018年12月20日,晴/晴,4℃,-15℃
2018年12月21日,晴/雨夹雪,4℃,-11℃
2018年12月22日,晴/晴,3℃,-15℃
2018年12月23日,晴/晴,5℃,-13℃
2018年12月24日,晴/晴,9℃,-11℃
2018年12月25日,晴/多云,5℃,-11℃
2018年12月26日,晴/晴,4℃,-10℃
2018年12月27日,晴/晴,9℃,-10℃
2018年12月28日,晴/小雪,10℃,-9℃
2018年12月29日,小雪/晴,0℃,-14℃
2018年12月30日,晴/晴,0℃,-16℃
2018年12月31日,多云/晴,4℃,-14℃
2019年01月01日,晴/晴,4℃,-15℃
2019年01月02日,晴/晴,4℃,-14℃
2019年01月03日,晴/多云,4℃,-14℃
2019年01月04日,雨夹雪/晴,3℃,-13℃
2019年01月05日,晴/晴,4℃,-10℃
2019年01月06日,晴/晴,7℃,-9℃
2019年01月07日,晴/晴,8℃,-8℃
2019年01月08日,多云/晴,7℃,-6℃
2019年01月09日,晴/晴,4℃,-9℃
2019年01月10日,晴/晴,0℃,-11℃
2019年01月11日,晴/晴,2℃,-11℃
2019年01月12日,多云/晴,7℃,-11℃
2019年01月13日,晴/晴,7℃,-11℃
2019年01月14日,晴/晴,8℃,-9℃
2019年01月15日,小雪/晴,2℃,-15℃
2019年01月16日,晴/晴,0℃,-17℃
2019年01月17日,晴/晴,5℃,-14℃
2019年01月18日,晴/晴,3℃,-12℃
2019年01月19日,晴/晴,5℃,-9℃
2019年01月20日,晴/晴,5℃,-12℃
2019年01月21日,晴/晴,6℃,-13℃
2019年01月22日,多云/多云,8℃,-12℃
2019年01月23日,晴/晴,7℃,-11℃
2019年01月24日,晴/晴,8℃,-9℃
2019年01月25日,晴/晴,9℃,-10℃
2019年01月26日,晴/晴,8℃,-8℃
2019年01月27日,晴/晴,9℃,-7℃
2019年01月28日,晴/晴,9℃,-5℃
2019年01月29日,晴/小雪,8℃,-2℃
2019年01月30日,小雪/晴,2℃,-7℃
2019年01月31日,晴/晴,9℃,-7℃
2019年02月01日,晴/晴,11℃,-7℃
2019年02月02日,晴/小雪,9℃,-7℃
2019年02月03日,小雨/晴,6℃,-7℃
2019年02月04日,小雨/雨夹雪,4℃,-8℃
