date,weather,temperature_high,temperature_low
2019年01月04日,晴/晴,8℃,2℃
2019年01月05日,多云/多云,11℃,3℃
2019年01月06日,多云/阴,10℃,4℃
2019年01月07日,晴/晴,10℃,4℃
2019年01月08日,小雨/小雨,10℃,3℃
2019年01月09日,小雨/阴,7℃,5℃
2019年01月10日,多云/小雨,7℃,3℃
2019年01月11日,晴/多云,11℃,3℃
2019年01月12日,阴/晴,12℃,3℃
2019年01月13日,多云/小雨,12℃,4℃
2019年01月14日,多云/晴,10℃,6℃
2019年01月15日,阴/多云,9℃,3℃
2019年01月16日,多云/多云,10℃,2℃
2019年01月17日,多云/阴,11℃,5℃
2019年01月18日,阴/阴,9℃,6℃
2019年01月19日,晴/小雨,11℃,4℃
2019年01月20日,晴/晴,11℃,3℃
2019年01月21日,晴/晴,12℃,1℃
2019年01月22日,晴/多云,13℃,1℃
2019年01月23日,多云/多云,13℃,3℃
2019年01月24日,阴/多云,11℃,6℃
2019年01月25日,阴/小雨,13℃,7℃
2019年01月26日,小雨/阴,10℃,6℃
2019年01月27日,阴/多云,10℃,7℃
2019年01月28日,多云/阴,12℃,7℃
2019年01月29日,阴/小雨,10℃,7℃
2019年01月30日,小雨/多云,10℃,3℃
2019年01月31日,多云/多云,11℃,6℃
2019年02月01日,阴/阴,10℃,5℃
2019年02月02日,阴/多云,12℃,6℃
2019年02月03日,晴/晴,13℃,4℃
2019年02月04日,晴/晴,13℃,5℃
2019年02月05日,多云/晴,18℃,7℃
2019年02月06日,多云/多云,16℃,6℃
2019年02月07日,晴/多云,20℃,8℃
2019年02月08日,小雨/小雨,13℃,6℃
2019年02月09日,小雨/小雨,10℃,5℃
2019年02月10日,阴/晴,6℃,4℃
2019年02月11日,多云/阴,10℃,4℃
2019年02月12日,多云/多云,13℃,6℃
2019年02月13日,多云/多云,15℃,7℃
2019年02月14日,多云/晴,13℃,7℃
2019年02月15日,晴/多云,13℃,8℃
2019年02月16日,阴/小雨,12℃,8℃
2019年02月17日,小雨/小雨,9℃,6℃
2019年02月18日,阴/多云,10℃,5℃
2019年02月19日,多云/多云,11℃,5℃
2019年02月20日,多云/小雨,13℃,7℃
2019年02月21日,晴/多云,15℃,5℃
2019年02月22日,阴/小雨,14℃,8℃
2019年02月23日,多云/小雨,13℃,9℃
2019年02月24日,小雨/晴,12℃,8℃
2019年02月25日,阴/小雨,13℃,8℃
2019年02月26日,小雨/小雨,13℃,7℃
2019年02月27日,小雨/小雨,14℃,9℃
2019年02月28日,多云/多云,14℃,9℃
2019年03月01日,小雨/小雨,12℃,7℃
2019年03月02日,多云/晴,14℃,7℃
2019年03月03日,多云/多云,16℃,8℃
2019年03月04日,小雨/阴,17℃,4℃
2019年03月05日,晴/晴,17℃,10℃
2019年03月06日,小雨/小雨,15℃,9℃
2019年03月07日,小雨/小雨,12℃,7℃
2019年03月08日,小雨/小雨,11℃,8℃
2019年03月09日,多云/多云,16℃,9℃
2019年03月10日,阵雨/多云,21℃,9℃
2019年03月11日,多云/多云,21℃,10℃
2019年03月12日,小雨/小雨,17℃,11℃
