date,weather,temperature_high,temperature_low
2018年11月12日,晴/小雨,9℃,-5℃
2018年11月13日,晴/晴,9℃,-4℃
2018年11月14日,小雪/小雪,8℃,-4℃
2018年11月15日,小雪/小雪,5℃,-6℃
2018年11月16日,小雪/小雪,6℃,-5℃
2018年11月17日,雨夹雪/雨夹雪,-3℃,-8℃
2018年11月18日,晴/小雪,0℃,-11℃
2018年11月19日,晴/晴,7℃,-10℃
2018年11月20日,晴/晴,5℃,-11℃
2018年11月21日,小雪/多云,3℃,-10℃
2018年11月22日,晴/晴,6℃,-12℃
2018年11月23日,晴/晴,6℃,-10℃
2018年11月24日,晴/晴,7℃,-12℃
2018年11月25日,晴/晴,7℃,-11℃
2018年11月26日,晴/晴,7℃,-10℃
2018年11月27日,晴/晴,4℃,-12℃
2018年11月28日,晴/晴,10℃,-8℃
2018年11月29日,晴/晴,11℃,-8℃
2018年11月30日,晴/多云,9℃,-7℃
2018年12月01日,小雪/晴,6℃,-10℃
2018年12月02日,多云/小雪,5℃,-10℃
2018年12月03日,晴/晴,6℃,-12℃
2018年12月04日,晴/晴,5℃,-10℃
2018年12月05日,晴/晴,8℃,-10℃
2018年12月06日,小雪/小雪,6℃,-10℃
2018年12月07日,晴/晴,4℃,-10℃
2018年12月08日,晴/晴,4℃,-9℃
2018年12月09日,晴/晴,6℃,-10℃
2018年12月10日,晴/小雪,5℃,-11℃
2018年12月11日,晴/多云,4℃,-12℃
2018年12月12日,晴/晴,4℃,-12℃
2018年12月13日,晴/晴,6℃,-11℃
2018年12月14日,晴/晴,7℃,-11℃
2018年12月15日,小雪/小雪,5℃,-15℃
2018年12月16日,晴/晴,3℃,-16℃
2018年12月17日,晴/多云,5℃,-14℃
2018年12月18日,小雨/雨夹雪,8℃,-14℃
2018年12月19日,晴/晴,3℃,-14℃
2018年12月20日,晴/晴,5℃,-13℃
2018年12月21日,晴/雨夹雪,7℃,-12℃
2018年12月22日,晴/晴,6℃,-13℃
2018年12月23日,晴/晴,5℃,-14℃
2018年12月24日,晴/晴,10℃,-12℃
2018年12月25日,晴/晴,8℃,-11℃
2018年12月26日,晴/晴,7℃,-11℃
2018年12月27日,晴/多云,6℃,-13℃
2018年12月28日,多云/小雪,1℃,-16℃
2018年12月29日,小雪/晴,-4℃,-16℃
2018年12月30日,晴/晴,0℃,-17℃
2018年12月31日,晴/多云,5℃,-16℃
2019年01月01日,多云/晴,5℃,-17℃
2019年01月02日,晴/晴,5℃,-15℃
2019年01月03日,晴/晴,6℃,-15℃
2019年01月04日,晴/晴,4℃,-15℃
2019年01月05日,晴/晴,5℃,-12℃
2019年01月06日,晴/晴,9℃,-16℃
2019年01月07日,晴/晴,8℃,-12℃
2019年01月08日,多云/晴,8℃,-15℃
2019年01月09日,晴/晴,5℃,-13℃
2019年01月10日,晴/晴,4℃,-14℃
2019年01月11日,晴/多云,3℃,-14℃
2019年01月12日,晴/晴,7℃,-13℃
2019年01月13日,晴/小雪,7℃,-14℃
2019年01月14日,晴/雨夹雪,7℃,-12℃
2019年01月15日,小雪/晴,0℃,-19℃
2019年01月16日,晴/晴,2℃,-19℃
2019年01月17日,晴/晴,8℃,-16℃
2019年01月18日,多云/晴,7℃,-14℃
2019年01月19日,小雨/晴,4℃,-14℃
2019年01月20日,晴/晴,0℃,-15℃
2019年01月21日,晴/晴,3℃,-17℃
2019年01月22日,晴/晴,8℃,-16℃
2019年01月23日,晴/晴,9℃,-14℃
2019年01月24日,晴/晴,9℃,-14℃
2019年01月25日,晴/晴,9℃,-11℃
2019年01月26日,晴/晴,9℃,-11℃
2019年01月27日,晴/晴,10℃,-9℃
2019年01月28日,晴/晴,9℃,-10℃
2019年01月29日,晴/小雪,9℃,-8℃
2019年01月30日,小雪/晴,2℃,-9℃
2019年01月31日,晴/晴,8℃,-9℃
2019年02月01日,晴/晴,11℃,-10℃
2019年02月02日,小雪/晴,8℃,-11℃
2019年02月03日,晴/晴,6℃,-13℃
2019年02月04日,晴/晴,2℃,-12℃
2019年02月05日,晴/晴,9℃,-8℃
2019年02月06日,晴/多云,10℃,-7℃
2019年02月07日,多云/晴,13℃,-8℃
2019年02月08日,晴/晴,16℃,-8℃
2019年02月09日,多云/小雪,15℃,-8℃
2019年02月10日,多云/晴,3℃,-9℃
2019年02月11日,多云/小雪,9℃,-8℃
2019年02月12日,小雪/多云,8℃,-11℃
2019年02月13日,晴/晴,11℃,-7℃
2019年02月14日,晴/晴,12℃,-7℃
2019年02月15日,晴/晴,12℃,-6℃
2019年02月16日,晴/晴,12℃,-6℃
2019年02月17日,小雨/晴,8℃,-10℃
2019年02月18日,晴/晴,6℃,-7℃
2019年02月19日,晴/晴,8℃,-8℃
2019年02月20日,阴/小雪,9℃,-9℃
2019年02月21日,晴/晴,9℃,-8℃
2019年02月22日,多云/小雪,13℃,-8℃
2019年02月23日,晴/晴,8℃,-6℃
2019年02月24日,小雨/晴,8℃,-5℃
2019年02月25日,小雪/小雪,7℃,-5℃
2019年02月26日,小雪/小雪,6℃,-7℃
2019年02月27日,小雨/雨夹雪,4℃,-7℃
2019年02月28日,晴/晴,9℃,-5℃
2019年03月01日,小雪/小雪,3℃,-8℃
2019年03月02日,多云/晴,2℃,-11℃
2019年03月03日,晴/多云,10℃,-10℃
2019年03月04日,小雨/中雪,7℃,-12℃
2019年03月05日,小雨/雨夹雪,3℃,-9℃
2019年03月06日,小雪/小雪,1℃,-5℃
2019年03月07日,小雪/小雪,4℃,-7℃
2019年03月08日,中雪/小雪,1℃,-6℃
2019年03月09日,小雪/多云,4℃,-10℃
2019年03月10日,小雪/阴,2℃,-9℃
2019年03月11日,多云/多云,8℃,-10℃
2019年03月12日,小雪/多云,9℃,-7℃
2019年03月13日,多云/多云,8℃,-7℃
2019年03月14日,多云/小雪,11℃,-5℃
2019年03月15日,小雪/小雪,11℃,-3℃
2019年03月16日,小雪/小雪,5℃,-2℃
2019年03月17日,雨夹雪/晴,7℃,-7℃
2019年03月18日,多云/阴,12℃,-5℃
2019年03月19日,小雪/晴,12℃,-7℃
2019年03月20日,小雪/小雪,13℃,-2℃
2019年03月21日,小雨/晴,9℃,-3℃
2019年03月22日,小雪/小雪,6℃,-4℃
2019年03月23日,小雪/小雪,1℃,-4℃
2019年03月24日,多云/多云,4℃,-6℃
2019年03月25日,晴/小雪,11℃,-4℃
2019年03月26日,小雪/小雪,10℃,-3℃
2019年03月27日,小雪/多云,1℃,-10℃
2019年03月28日,晴/晴,9℃,-5℃
2019年03月29日,晴/晴,12℃,-3℃
2019年03月30日,晴/晴,14℃,-2℃
2019年03月31日,阴/雨夹雪,12℃,-1℃
2019年04月01日,雨夹雪/雨夹雪,13℃,0℃
2019年04月02日,小雨/小雨,6℃,-1℃
2019年04月03日,晴/晴,8℃,-2℃
2019年04月04日,小雨/小雨,7℃,-2℃
2019年04月05日,晴/晴,5℃,-9℃
2019年04月06日,晴/晴,12℃,-4℃
2019年04月07日,晴/多云,17℃,-2℃
2019年04月08日,雨夹雪/多云,16℃,-2℃
2019年04月09日,晴/晴,15℃,0℃
2019年04月10日,晴/晴,14℃,-3℃
2019年04月11日,晴/晴,18℃,0℃
2019年04月12日,晴/多云,17℃,0℃
2019年04月13日,雨夹雪/多云,17℃,-1℃
2019年04月14日,多云/雨夹雪,18℃,-2℃
2019年04月15日,晴/晴,16℃,-1℃
2019年04月16日,晴/晴,16℃,0℃
2019年04月17日,晴/晴,19℃,0℃
2019年04月18日,晴/多云,24℃,2℃
2019年04月19日,阵雨/小雨,20℃,1℃
2019年04月20日,小雨/小雨,10℃,2℃
2019年04月21日,多云/多云,10℃,2℃
2019年04月22日,晴/多云,13℃,0℃
2019年04月23日,晴/晴,17℃,0℃
2019年04月24日,晴/晴,18℃,0℃
2019年04月25日,晴/多云,24℃,2℃
2019年04月26日,晴/多云,25℃,4℃
2019年04月27日,阵雨/小雨,20℃,5℃
2019年04月28日,阵雨/小雨,18℃,4℃
2019年04月29日,阵雨/小雨,15℃,2℃
2019年04月30日,晴/晴,15℃,1℃
2019年05月01日,小雨/阴,17℃,3℃
2019年05月02日,阵雨/小雨,14℃,2℃
2019年05月03日,晴/小雨,18℃,4℃
2019年05月04日,阵雨/小雨,19℃,4℃
2019年05月05日,小雨/小雨,14℃,5℃
2019年05月06日,小雨/中雨,12℃,3℃
2019年05月07日,多云/雨夹雪,10℃,0℃
2019年05月08日,小雨/小雨,10℃,1℃
2019年05月09日,多云/多云,14℃,0℃
2019年05月10日,多云/多云,16℃,0℃
2019年05月11日,晴/晴,16℃,1℃
